name,station_code,lat,long,is_opened,passengers
Hillview,DT3,1.362472,103.767389,True,7132
Queenstown,EW19,1.2944417,103.8061139,True,15262
Fort Canning,DT20,1.292481000,103.8443250,True,5546
Gul Circle,EW30,1.3212000,103.6657000,True,3915
Katong Park,TE24,1.297825,103.885331,True,0
Bedok South,TE30,1.316613,103.948276,False,-1
Tiong Bahru,EW17,1.2860806,103.8269583,True,22629
Esplanade,CC3,1.29333,103.85556,True,8711
Dhoby Ghaut,"NS24 NE6 CC1",1.2994,103.84504,True,30224
West Coast,"JE CR18",1.310790,103.757828,False,-1
Bedok North,DT29,1.33639,103.91778,True,7032
Bartley,CC12,1.342756,103.879697,True,5640
Raffles Place,"NS26 EW14",1.28389,103.85139,True,61098
Expo,"CG1 DT35",1.33528,103.96194,True,13515
Bras Basah,CC2,1.296931,103.850631,True,3978
Kembangan,EW6,1.3209833,103.9128417,True,9762
Maxwell,TE18,1.2803,103.8440,True,8406
Great World,TE15,1.29500,103.83333,True,6810
Caldecott,"CC17 TE9",1.337761,103.839447,True,5765
Downtown,DT17,1.279458,103.852931,True,15851
Sungei Kadut,"NS6 DE2",1.4133,103.7488,False,-1
Little India,"NE7 DT12",1.3068002,103.8496471,True,27711
Newton,"NS21 DT11",1.312956,103.838442,True,50863
Woodlands North,"TE1 RTS",1.4482,103.7851,True,4990
Ubi,DT27,1.330011,103.899958,True,8451
Boon Keng,NE9,1.319483,103.861722,True,21400
Cashew,DT2,1.368975,103.764803,True,2491
Lorong Chuan,CC14,1.351636,103.864064,True,5916
Shenton Way,TE19,1.2775,103.8507,True,7311
Kaki Bukit,DT28,1.334929,103.908976,True,10409
Sixth Avenue,DT7,1.33083,103.79750,True,3658
Telok Ayer,DT18,1.282125,103.848472,True,12776
Toh Guan,JE4,1.33984,103.7425,False,-1
Tukang,JS10,1.32533,103.70924,False,-1
Canberra,NS12,1.44306,103.82972,True,15240
Woodleigh,NE11,1.33917,103.87083,True,11844
Holland Village,CC21,1.312078,103.796208,True,8688
Springleaf,TE4,1.3978,103.8182,True,4632
Elias,CP2,1.384,103.938,False,-1
Tengah Plantation,JE1,1.35731,103.73342,False,-1
Serangoon North,CR9,1.37067,103.8736,False,-1
Napier,TE12,1.29500,103.83333,True,3952
Bishan,"NS17 CC15",1.351236,103.848456,True,37275
Corporation,JS5,1.352948,103.713930,False,-1
one-north,CC23,1.299331,103.787067,True,12332
Mattar,DT25,1.327223,103.882864,True,4050
Orchard Boulevard,TE13,1.3024223,103.8238686,True,3406
Pandan Reservoir,JE7,1.320,103.745,False,-1
Bukit Batok,NS2,1.349073,103.749664,True,25059
Keppel,CC30,1.2701,103.8310,False,-1
Cantonment,CC31,1.272814,103.836659,False,-1
Bright Hill,"TE7 CR13",1.36384,103.834748,True,5284
Defu,CR7,1.362243,103.898874,False,-1
Maju,CR16,1.328462,103.776993,False,-1
Jurong Town Hall,JE6,1.326,103.746,False,-1
Boon Lay,"EW27 JS8",1.33861,103.70583,True,41195
Pioneer,EW28,1.3375778,103.6972167,True,27013
Havelock,TE16,1.2877,103.8337,True,6219
Marina South Pier,NS28,1.270944,103.863250,True,2178
Hougang,"NE14 CR8",1.371292,103.892161,True,28153
Aljunied,EW9,1.3164417,103.8829806,True,21402
Siglap,TE28,1.309770,103.928967,True,0
Haw Par Villa,CC25,1.28278,103.78167,True,6188
Telok Blangah,CC28,1.270572,103.809678,True,3463
Pasir Ris,"EW1 CR5 CP1",1.3724111,103.9493694,True,27307
Labrador Park,CC27,1.272267,103.802908,True,5818
Ang Mo Kio,"NS16 CR11",1.3700167,103.8494500,True,39720
Loyang,CR3,1.372,103.972,False,-1
Woodlands,"NS9 TE2",1.4370944,103.7864833,True,51051
Upper Thomson,TE8,1.3542,103.8332,True,8878
Sengkang,"NE16 STC",1.3919750,103.8949556,True,39617
Punggol,"NE17 PTC CP4",1.40528,103.90250,True,38929
Bukit Panjang,"DT1 BP6",1.378436,103.761767,True,36263
Choa Chu Kang,"NS4 BP1 JS1",1.385092,103.744322,True,33588
Seletar,"NA",1.406922,103.868050,True,0
